"","Parcel_Num","Property_C","Property_S","Inventory_","Zoned_As","Address1","City","Neighborho","Longitude","Latitude","Council_Di","Area_Plann","Square_Foo","Business_I","Community_","Building_N","LA_County_","LA_County1","PIN","County_Ass","County_A_1","coords.x1","coords.x2","optional"
"697",4128019901,"vacant land","Owned","Airports",NA,"5310 W 99TH ST","LOS ANGELES",NA,-118.3741379,33.9467239,4,"None",6622.891889,"None",NA,NA,4128019901,NA,NA,NA,NA,-118.3741379,33.9467239,TRUE
"698",4128009908,"vacant land","Owned","Airports",NA,"9320 ISIS AVE","LOS ANGELES",NA,-118.3755798,33.9509735,4,"None",5601.052473,"None",NA,NA,4128009908,NA,NA,NA,NA,-118.3755798,33.9509735,TRUE
"699",4128016903,"vacant land","Owned","Airports",NA,"5201 W 97TH ST","LOS ANGELES",NA,-118.3704376,33.9485588,4,"None",6120.286985,"None",NA,NA,4128016903,NA,NA,NA,NA,-118.3704376,33.9485588,TRUE
"700",5555032900,"vacant land","Surplus-Undeclared","General Services","R1-1","1635 LAUREL CANYON BLVD","LOS ANGELES",NA,-118.3656082,34.1009293,11,"None",6161.785892,"None",NA,"Vacant Land",5555032900,NA,NA,NA,NA,-118.3656082,34.1009293,TRUE
"701",5169019900,"vacant land","New","DWP","M3-1-CUGU","NONE","LOS ANGELES","Boyle Heights",-118.2141524,34.01754655,7,"None",38656.8393,"None","Boyle Heights",NA,5169019900,NA,"118-5A223 164","L A CITY DEPT OF WATER AND POWER",NA,-118.2141524,34.01754655,TRUE
"702",2401011901,"vacant land","Surplus-Undeclared","General Services","A2-1&K","8814 W LA TUNA CANYON RD","SUN VALLEY",NA,-118.317715,34.23621,14,"North Valley",2412.740099,NA,"Sunland-Tujunga-Lake Vw Ter-Shadow Hills-E La Tuna","Vacant Land",2401011901,NA,NA,NA,NA,-118.317715,34.23621,TRUE
"703",4128016904,"vacant land","Owned","Airports",NA,"5206 W 97TH PL","LOS ANGELES",NA,-118.3705978,33.9473839,4,"None",5452.315449,"None",NA,NA,4128016904,NA,NA,NA,NA,-118.3705978,33.9473839,TRUE
"704",4128009912,"vacant land","Owned","Airports",NA,"5303 W 94TH ST","LOS ANGELES",NA,-118.3728104,33.9509277,4,"None",5503.828545,"None",NA,NA,4128009912,NA,NA,NA,NA,-118.3728104,33.9509277,TRUE
"705",6002030901,"vacant land","Surplus-Undeclared","General Services","R3-1","1736 W GAGE AVE","LOS ANGELES",NA,-118.3080444,33.9819756,15,"None",2010.26,"None",NA,"Vacant Land",6002030901,NA,NA,NA,NA,-118.3080444,33.9819756,TRUE
"706",4128019902,"vacant land","Owned","Airports",NA,"5306 W 99TH ST","LOS ANGELES",NA,-118.3739395,33.9467468,4,"None",6551.634136,"None",NA,NA,4128019902,NA,NA,NA,NA,-118.3739395,33.9467468,TRUE
